user_id,/,/about,/features,/features/desktop,/features/mobile,/features/web,/pricing,/signup,/tutorial/end,/tutorial/intro,/tutorial/step-four,/tutorial/step-one,/tutorial/step-three,/tutorial/step-two,drop,length,path,user_agent,user_id
1,13.0,0.0,18.0,0.0,0.0,0.0,0.0,11.0,0.0,7.0,0.0,2.0,6.0,18.0,,,,,
2,14.0,0.0,0.0,0.0,0.0,11.0,18.0,2.0,5.0,20.0,13.0,16.0,4.0,1.0,,,,,
3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,12.0,10.0,6.0,11.0,1.0,,,,,
5,16.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,13.0,4.0,20.0,6.0,11.0,10.0,,,,,
6,19.0,0.0,0.0,6.0,8.0,19.0,0.0,2.0,0.0,5.0,0.0,13.0,18.0,20.0,,,,,
7,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,12.0,0.0,0.0,0.0,0.0,,,,,
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
10,4.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
11,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
12,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
13,8.0,0.0,12.0,13.0,6.0,2.0,20.0,14.0,0.0,10.0,0.0,14.0,0.0,0.0,,,,,
14,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,
16,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
17,10.0,0.0,0.0,0.0,14.0,9.0,0.0,14.0,20.0,19.0,10.0,7.0,8.0,2.0,,,,,
18,17.0,0.0,8.0,0.0,0.0,0.0,0.0,20.0,5.0,19.0,5.0,5.0,13.0,3.0,,,,,
19,15.0,0.0,15.0,0.0,0.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
20,2.0,0.0,0.0,0.0,0.0,18.0,1.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,,,,,
21,20.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,9.0,17.0,17.0,5.0,2.0,5.0,,,,,
